% Model:              Pt_secm_disk_np.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 10 2020, 01:43
% Table:              Table 1 - L = 1 (tds.ntflux_cP/(4*D*Rtip*a), tds.ntflux_cP)
% Xa                                              L                                                 Concentration (mM), Integral 7                    TotalFlux (mol/s), Integral 7
0                                                 3                                                 0.8629886158388343                                7.249104373046229E-17
0.16                                              3                                                 0.8610564974310738                                7.232874578421008E-17
0.33                                              3                                                 0.8581082664122878                                7.208109437863195E-17
0.49                                              3                                                 0.851914067555628                                 7.156078167467281E-17
0.65                                              3                                                 0.8457902865981535                                7.104638407424481E-17
0.82                                              3                                                 0.8362180681728874                                7.024231772652249E-17
0.98                                              3                                                 0.8258854492597197                                6.937437773781625E-17
1.14                                              3                                                 0.8142367588021873                                6.839588773938353E-17
1.31                                              3                                                 0.8000059835808452                                6.720050262079096E-17
1.47                                              3                                                 0.7858179313517609                                6.600870623354776E-17
1.63                                              3                                                 0.7730258391750119                                6.493417049070103E-17
1.8                                               3                                                 0.757072581923384                                 6.359409688156419E-17
1.96                                              3                                                 0.7406762846247646                                6.221680790848036E-17
2.12                                              3                                                 0.7238905904108486                                6.080680959451141E-17
2.29                                              3                                                 0.7019231120450614                                5.896154141178517E-17
2.45                                              3                                                 0.6838433481582608                                5.744284124529389E-17
2.61                                              3                                                 0.6673047528060208                                5.605359923570585E-17
2.78                                              3                                                 0.6475206517146759                                5.4391734744032697E-17
2.94                                              3                                                 0.6302632788318495                                5.294211542187534E-17
3.1                                               3                                                 0.6131889875442825                                5.150787495371971E-17
3.27                                              3                                                 0.5953324238145626                                5.0007923600423303E-17
3.43                                              3                                                 0.5785853095339785                                4.860116600085423E-17
3.59                                              3                                                 0.562875788771331                                 4.7281566256791953E-17
3.76                                              3                                                 0.5456371263321071                                4.583351861189689E-17
3.92                                              3                                                 0.5310276506529171                                4.4606322654845164E-17
4.08                                              3                                                 0.5146483164073691                                4.323045857821904E-17
4.24                                              3                                                 0.5006878224178651                                4.2057777083100705E-17
4.41                                              3                                                 0.486513222153357                                 4.086711066088204E-17
4.57                                              3                                                 0.47234013426587407                               3.9676571278333486E-17
4.73                                              3                                                 0.45965931275408306                               3.861138227134293E-17
4.9                                               3                                                 0.4460524420441799                                3.746840513171114E-17
5.06                                              2.9990997974088236                                0.43377066307969736                               3.643673569869465E-17
5.22                                              2.9878631743658817                                0.4225373975754982                                3.549314139634186E-17
5.39                                              2.961606484491729                                 0.4110141638604856                                3.452518976428073E-17
5.55                                              2.9228884523029413                                0.4010189837877621                                3.3685594638172025E-17
5.71                                              2.8697326012026423                                0.3912914711965241                                3.286848358050796E-17
5.88                                              2.7959955456514916                                0.3826357553209251                                3.214140344695766E-17
6.04                                              2.70833252032501                                  0.3737558755665377                                3.139549354758915E-17
6.2                                               2.5999999999999996                                0.3649160251990688                                3.065294611672178E-17
6.37                                              2.4570861333497067                                0.355497559612447                                 2.986179500744556E-17
6.53                                              2.2880605575826003                                0.34849327873473374                               2.927343541371761E-17
6.69                                              2.0695326081985526                                0.33811157982564616                               2.8401372705354264E-17
6.86                                              1.7351190379795634                                0.32597635817859416                               2.7382014087001947E-17
7.02                                              1                                                 0.2983783355517656                                2.5063780186348277E-17
7.18                                              1                                                 0.29023756594306505                               2.4379955539217438E-17
7.35                                              1                                                 0.2817925629057055                                2.3670575284079248E-17
7.51                                              1                                                 0.274648475405425                                 2.3070471934055717E-17
7.67                                              1                                                 0.266909921884321                                 2.2420433438283048E-17
7.84                                              1                                                 0.2602283831725294                                2.1859184186492456E-17
8                                                 1                                                 0.25388909971009677                               2.1326684375648125E-17
