% Model:              Pt_secm_ele_HOPG_k0H.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 13 2020, 23:19
% Dimension:          1
% Nodes:              23
% Expressions:        1
% Description:        Point graph
% x                       Height
-2.75E-7                  0.1443724542287542
-2.5000000000000004E-7    0.1609930985800287
-2.25E-7                  0.1854492562971952
-2.0000000000000002E-7    0.21395886282941196
-1.7500000000000002E-7    0.2434668004872379
-1.5000000000000002E-7    0.29311424876611747
-1.2500000000000002E-7    0.3591145629382677
-1.0000000000000001E-7    0.4595437607235601
-7.500000000000001E-8     0.5521688932960856
-5.0E-8                   0.603018078121427
-2.5000000000000002E-8    0.637362829511222
-1.550963648536927E-25    0.6530756533554966
2.5000000000000002E-8     0.6392211593441326
5.0000000000000004E-8     0.605029371298854
7.500000000000001E-8      0.5539618936718432
1.0000000000000001E-7     0.4589022435175161
1.2500000000000005E-7     0.358419915355483
1.5000000000000002E-7     0.29630752846665503
1.7500000000000002E-7     0.2486469353618044
2.0E-7                    0.21481539992977297
2.2500000000000002E-7     0.18071707370595744
2.5000000000000004E-7     0.1609478404108557
2.75E-7                   0.14296735985264658
