% Model:              Pt_secm_disk_np.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 5 2020, 22:00
% Table:              Table 2 - Point Evaluation 2 (kback*cP)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(4*D*Rtip) (mM), Integral 4
0                                                 100                                               0.6516580469297795
4.079999999999999                                 100                                               0.6476043940101409
8.159999999999998                                 100                                               0.649795274402585
12.239999999999998                                100                                               0.643933630803332
16.329999999999995                                100                                               0.640387558964784
20.41                                             100                                               0.6388168675082362
24.49                                             100                                               0.6302890514884865
28.57                                             100                                               0.6293310306361675
32.64999999999999                                 100                                               0.6181507358326416
36.73                                             100                                               0.613906640675366
40.82                                             100                                               0.6069923863293344
44.89999999999999                                 100                                               0.5949881224271015
48.98                                             100                                               0.5893078298140759
53.06                                             100                                               0.5790887053634516
57.14                                             100                                               0.5667256718592948
61.21999999999999                                 100                                               0.5610157895169556
65.31                                             100                                               0.5502754932010018
69.38999999999999                                 100                                               0.539785124203403
73.47                                             100                                               0.5257396652580633
77.55                                             100                                               0.5172855567154114
81.62999999999998                                 100                                               0.5071808890003876
85.71                                             100                                               0.49680986625853935
89.79999999999998                                 100                                               0.4861290482072344
93.88                                             100                                               0.47230163182581275
97.96                                             100                                               0.46235075325933433
102.04                                            100                                               0.4549021018901241
106.12                                            100                                               0.4440965569150613
110.19999999999999                                100                                               0.4318734650277899
114.29                                            100                                               0.42424350663073396
118.36999999999999                                100                                               0.41417592612098203
122.45                                            100                                               0.4046027663589398
126.52999999999999                                99.97658551762014                                 0.3932658198250617
130.61                                            99.68428222285192                                 0.3847404266635299
134.68999999999997                                99.05205296417265                                 0.37718295813421193
138.77999999999997                                98.06362033804776                                 0.3712790176722615
142.86                                            96.70139612474127                                 0.3648867194299002
146.94                                            94.9292376966269                                  0.3587000441279245
151.01999999999998                                92.69613097225555                                 0.3511589185894721
155.1                                             89.9248043201216                                  0.3465226198321969
159.18                                            86.49284313396255                                 0.339547658652381
163.27                                            82.1777423073776                                  0.33454938491946234
167.34999999999997                                76.57964446714817                                 0.33166094052413764
171.43                                            68.5541127516246                                  0.325344283013736
175.51                                            50                                                0.3193320426768341
179.58999999999997                                50                                                0.3112853200116736
183.67                                            50                                                0.30150871345666913
187.76                                            50                                                0.293626170899179
191.83999999999997                                50                                                0.2881700792165139
195.92                                            50                                                0.2791330887491163
200                                               50                                                0.2739618601057491
