% Model:              Pt_secm_disk_np.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 8 2020, 09:31
% Table:              Table 3 - Point Evaluation 1 (kfore*cR, n*F*kfore*cR)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(4*D*Rtip) (mM), Integral 6
0                                                 150                                               0.42920576146081574
4.079999999999999                                 150                                               0.42665194673649426
8.159999999999998                                 150                                               0.4255807015829051
12.239999999999998                                150                                               0.4274587485002264
16.329999999999995                                150                                               0.42391381072151846
20.41                                             150                                               0.42530655473230444
24.49                                             150                                               0.4239531734679282
28.57                                             150                                               0.4188594702967554
32.64999999999999                                 150                                               0.41634279972253174
36.73                                             150                                               0.41329229528695494
40.82                                             150                                               0.4111372854145855
44.89999999999999                                 150                                               0.40855767759302347
48.98                                             150                                               0.4052102616183212
53.06                                             150                                               0.4017611535746838
57.14                                             150                                               0.40043887964051195
61.21999999999999                                 150                                               0.39647585213092973
65.31                                             150                                               0.3918847822300404
69.38999999999999                                 150                                               0.3870605260309406
73.47                                             150                                               0.3837110305357394
77.55                                             150                                               0.37615335787095655
81.62999999999998                                 150                                               0.37188004673362135
85.71                                             150                                               0.37030330738798783
89.79999999999998                                 150                                               0.3625698716693786
93.88                                             150                                               0.35998873439221546
97.96                                             150                                               0.3525030551592684
102.04                                            150                                               0.34809162791240783
106.12                                            150                                               0.3428281207579299
110.19999999999999                                150                                               0.33764366679310004
114.29                                            150                                               0.3351762661884653
118.36999999999999                                150                                               0.33018393525073514
122.45                                            150                                               0.32582460656002915
126.52999999999999                                149.97658551762015                                0.32056178500939064
130.61                                            149.68428222285192                                0.3157796673843396
134.68999999999997                                149.05205296417267                                0.30941309190822314
138.77999999999997                                148.06362033804774                                0.3073814733108752
142.86                                            146.70139612474128                                0.30276323788728615
146.94                                            144.92923769662687                                0.30154682789044246
151.01999999999998                                142.69613097225556                                0.2982740404217253
155.1                                             139.9248043201216                                 0.29732343135680606
159.18                                            136.49284313396254                                0.294987295718315
163.27                                            132.17774230737763                                0.29413728745176254
167.34999999999997                                126.57964446714817                                0.29399535222054884
171.43                                            118.55411275162461                                0.294328949637672
175.51                                            100                                               0.3026669931698029
179.58999999999997                                100                                               0.2940952556187352
183.67                                            100                                               0.28833481447196874
187.76                                            100                                               0.28170604017874395
191.83999999999997                                100                                               0.27796046082997367
195.92                                            100                                               0.2703067826482749
200                                               100                                               0.26733915642804607
