% Model:              Pt_secm_Bruker_np.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 4 2020, 16:28
% Table:              Table 8 - L = 25 kOH (kback*cP, n*F*kback*cP)
% Xa (nm)                                         L (nm)                                            kback*cP (mol/s), Integral 7                      n*F*kback*cP (pA), Integral 7                     -(nx*cPx+ny*cPy+nz*cPz)*n*F*D (pA), Integral 7    tds.ntflux_cP/(2.4*4*D*Rbase) (mM), Integral 7
0                                                 75                                                2.552287178165211E-16                             24.62574283852696                                 21.584011644035677                                0.361718739661585
4.079999999999999                                 74.88894177380263                                 2.5561918160753434E-16                            24.663416737402866                                21.506471468325355                                0.3622719890736936
8.159999999999998                                 74.55477449499797                                 2.5510053012844894E-16                            24.613374649443298                                21.66893648995439                                 0.3615363659608879
12.239999999999998                                73.9944754694565                                  2.5635543610921675E-16                            24.734454252997796                                21.578970378596768                                0.36331540098685045
16.329999999999995                                73.20062226511466                                 2.5668331754587804E-16                            24.766089893414026                                21.836034948112463                                0.36377986420619796
20.41                                             72.16946653537074                                 2.57784900228849E-16                              24.872376098580567                                21.923194800496066                                0.36534105735564965
24.49                                             70.888926497726                                   2.59147328436522E-16                              25.0038299841978                                  22.070483348091624                                0.36727200120974035
28.57                                             69.34518800897435                                 2.60798096270065E-16                              25.163104318617357                                22.29028762491983                                 0.3696114213358836
32.64999999999999                                 67.52020068098139                                 2.6278866788823377E-16                            25.355164621196167                                22.422293533920033                                0.37243286960781435
36.73                                             65.3904205522491                                  2.6514911248783896E-16                            25.582912118389157                                22.65262960600307                                 0.37577817463135577
40.82                                             62.91842019631453                                 2.6825809529074986E-16                            25.882882324127966                                22.909198584758755                                0.3801842358595298
44.89999999999999                                 60.074869954083134                                2.7181638664885696E-16                            26.22620406581489                                 23.17505549544697                                 0.385227069094744
48.98                                             56.79753163650688                                 2.75991432189067E-16                              26.62903333476217                                 23.60288064860815                                 0.3911438030486003
53.06                                             53.00600343357345                                 2.812348021709446E-16                             27.134939887463545                                24.058689732449608                                0.3985750808145963
57.14                                             48.58004116918798                                 2.8791794836580904E-16                            27.779763248075145                                24.596096446959432                                0.4080462131616295
61.21999999999999                                 43.325645984797504                                2.9626749102118354E-16                            28.585368871178833                                25.43391153440034                                 0.41987957229106965
65.31                                             36.87280705343709                                 3.0825038532778276E-16                            29.741538428351294                                26.451453966766813                                0.4368624845688637
69.38999999999999                                 28.460989090332053                                3.264742709421136E-16                             31.49987003184976                                 28.05587600220028                                 0.4626903261175803
73.47                                             25                                                3.201856779830365E-16                             30.893115140193313                                27.478974733541037                                0.4537777569766323
77.55                                             25                                                3.0197173671706407E-16                            29.135743017145952                                26.078829924767835                                0.4279646163719488
81.62999999999998                                 25                                                2.8677002314087757E-16                            27.669005682747414                                24.66640359018543                                 0.40642054181757326
85.71                                             25                                                2.7393332985832146E-16                            26.430457331380214                                23.604459747680473                                0.38822739125211947
89.79999999999998                                 25                                                2.627178060673163E-16                             25.348327518404925                                22.556959776596653                                0.37233253621129586
93.88                                             25                                                2.5285769372436414E-16                            24.3969745789953                                  21.742933145988605                                0.3583583806585068
97.96                                             25                                                2.4428636248174717E-16                            23.569969684051372                                20.962199937772365                                0.346210357374113
102.04                                            25                                                2.361487536389838E-16                             22.784812494857356                                20.286239052813684                                0.3346773458786317
106.12                                            25                                                2.2892758409094957E-16                            22.08807795101524                                 19.61910795918144                                 0.3244434475038676
110.19999999999999                                25                                                2.222021514819649E-16                             21.439174585737266                                18.918656563670055                                0.3149117097491859
114.29                                            25                                                2.1590792991105906E-16                            20.831876617468595                                18.46889828091613                                 0.30599144866494815
118.36999999999999                                25                                                2.1014463106472498E-16                            20.275804728279926                                17.961995692565118                                0.29782335182229575
122.45                                            25                                                2.0482022763648798E-16                            19.76207966350654                                 17.416350010013502                                0.29027745732672905
