% Model:              Pt_secm_ele_HOPG_k0H.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 14 2020, 18:42
% Dimension:          1
% Nodes:              23
% Expressions:        1
% Description:        Table graph
%                         
-2.7500000000000007E-7    0.14587091989198317
-2.5000000000000004E-7    0.160024868888212
-2.2500000000000007E-7    0.17658709452966873
-2.0000000000000004E-7    0.19601831064202907
-1.7500000000000005E-7    0.2194598282385819
-1.5000000000000005E-7    0.24801516478351587
-1.2500000000000002E-7    0.2855883898098189
-1.0000000000000002E-7    0.3408348903708516
-7.500000000000002E-8     0.37038279292329374
-5.0000000000000024E-8    0.3618179334045539
-2.5000000000000025E-8    0.3618894348172356
0                         0.361718739661585
2.5000000000000025E-8     0.36069568655417333
5.0E-8                    0.36206842787723953
7.500000000000002E-8      0.37028366479190344
1.0E-7                    0.34020386725335156
1.2500000000000002E-7     0.2854580337520944
1.5000000000000005E-7     0.24837851738606856
1.7500000000000002E-7     0.21949713659237882
2.0000000000000004E-7     0.1961869445121587
2.2500000000000002E-7     0.17665912918333507
2.500000000000001E-7      0.16003379040158303
2.7500000000000007E-7     0.14593215820352706
