% Model:              Pt_secm_hemi_np.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 5 2020, 19:27
% Dimension:          1
% Nodes:              50
% Expressions:        1
% Description:        Point graph
% x                       Height
-200.00000000000003       0.21867111466386058
-195.92                   0.22179565235876122
-191.84000000000003       0.22492019005366196
-187.76000000000002       0.22804472774856266
-183.67                   0.2311769236240881
-179.59                   0.2343014613189888
-175.51000000000002       0.2380894440510656
-171.43                   0.24250393802058776
-167.34999999999997       0.2459843381697165
-163.26999999999998       0.24695934642900305
-159.18                   0.24851757537875094
-155.1                    0.25070454778703527
-151.02                   0.253284736654426
-146.94                   0.2561795562004602
-142.86                   0.25916607596361313
-138.77999999999997       0.26021802498718855
-134.68999999999997       0.2617286025686155
-130.61                   0.26571964742699655
-126.52999999999999       0.2699075932915512
-122.44999999999997       0.27428071576085317
-118.36999999999998       0.27868368773727104
-114.29                   0.28308665971368885
-110.19999999999997       0.28750042328808817
-106.11999999999999       0.291903395264506
-102.04                   0.2963063672409238
-97.96                    0.3007890630660935
-93.88                    0.30665030773319624
-89.8                     0.31222140760402184
-85.71                    0.3178061621313936
-81.62999999999998        0.3233772620022193
-77.55                    0.328948361873045
-73.46999999999998        0.33379046795105705
-69.38999999999999        0.3384570555647465
-65.31                    0.34436541007499033
-61.21999999999999        0.35043779779842854
-57.13999999999999        0.35393271170715057
-53.06                    0.3574276256158726
-48.97999999999999        0.3432422098984816
-44.89999999999999        0.3389588213368039
-40.81999999999999        0.3360703879181831
-36.73                    0.33405739490917646
-32.65                    0.3328331202571175
-28.57                    0.33230708115638363
-24.49                    0.33214335824312546
-20.41                    0.33030173761613063
-16.32999999999999        0.32821911039757834
-12.239999999999995       0.32667583206760725
-8.159999999999997        0.3256691417717893
-4.079999999999999        0.3255375055393123
1.6543612251060552E-15    0.3258922791830163
