% Model:              Pt_secm_ele_HOPG_k0H.mph
% Version:            COMSOL 5.3.1.348
% Date:               Sep 27 2019, 12:35
% Dimension:          1
% Nodes:              23
% Expressions:        1
% Description:        Point graph
% x                       Height
-275                      0.1421035310132459
-250                      0.15970072852508455
-225                      0.18346804843843406
-200.00000000000003       0.21040453375294613
-175                      0.245440366478493
-149.99999999999997       0.2800054993518308
-124.99999999999999       0.34101459912456744
-99.99999999999999        0.4174268650859214
-75                       0.4598943388513498
-49.99999999999999        0.46144327118182854
-25.000000000000004       0.46804649041626095
-3.1536260853584176E-15   0.47026759441560395
24.999999999999996        0.4652724829459346
50                        0.46547894705280424
75                        0.4635978903127483
99.99999999999999         0.4102424702568608
125                       0.3339678697035158
149.99999999999997        0.285357895016078
174.99999999999997        0.2414483292119138
200                       0.21087520010226335
225                       0.17939620097667627
250                       0.16038565921278175
275                       0.1445591582123906
