% Model:              Pt_secm_Bruker_np.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 7 2020, 00:25
% Table:              Table 3 - Point Evaluation 1 (kfore*cR, n*F*kfore*cR)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(2.4*4*D*Rbase) (mM), Integral 6
0                                                 150                                               0.21082763447955966
4.079999999999999                                 149.8889417738026                                 0.21109799823105543
8.159999999999998                                 149.55477449499796                                0.21119703644649768
12.239999999999998                                148.9944754694565                                 0.21168467771107208
16.329999999999995                                148.20062226511465                                0.21219125067562405
20.41                                             147.16946653537073                                0.21288198760416113
24.49                                             145.888926497726                                  0.2137559106490224
28.57                                             144.34518800897433                                0.21488604124310007
32.64999999999999                                 142.5202006809814                                 0.21594920759338163
36.73                                             140.39042055224908                                0.21742884581140226
40.82                                             137.9184201963145                                 0.21922321788158386
44.89999999999999                                 135.07486995408314                                0.22202533178403236
48.98                                             131.79753163650685                                0.22397681102233427
53.06                                             128.00600343357343                                0.22713196087875231
57.14                                             123.58004116918798                                0.23060738777040662
61.21999999999999                                 118.3256459847975                                 0.23516065851489729
65.31                                             111.8728070534371                                 0.24133368849330336
69.38999999999999                                 103.46098909033205                                0.250195466089466
73.47                                             100                                               0.25221278440058675
77.55                                             100                                               0.24963814586553662
81.62999999999998                                 100                                               0.24676318314430598
85.71                                             100                                               0.24398058866018416
89.79999999999998                                 100                                               0.24105399688040505
93.88                                             100                                               0.23793218405224975
97.96                                             100                                               0.23549513480947815
102.04                                            100                                               0.2322564401864747
106.12                                            100                                               0.23029175022690818
110.19999999999999                                100                                               0.22746426908450418
114.29                                            100                                               0.2247866828966825
118.36999999999999                                100                                               0.22182197553910296
122.45                                            100                                               0.21833924911265115
126.52999999999999                                100                                               0.21582329724869606
130.61                                            100                                               0.21305645804784903
134.68999999999997                                100                                               0.2103118121914265
138.77999999999997                                100                                               0.20755295674843274
142.86                                            100                                               0.20511780028680082
146.94                                            100                                               0.20263999815551637
151.01999999999998                                100                                               0.200102021655098
155.1                                             100                                               0.1979325884978612
159.18                                            100                                               0.19496815201642256
163.27                                            100                                               0.1924023564542486
167.34999999999997                                100                                               0.18996936540365844
171.43                                            100                                               0.18776684603460775
175.51                                            100                                               0.18520917863820674
179.58999999999997                                100                                               0.18286861114523698
183.67                                            100                                               0.18058409377856582
187.76                                            100                                               0.1787560214933525
191.83999999999997                                100                                               0.17627989206859251
195.92                                            100                                               0.17427508827485544
200                                               100                                               0.17194740977609704
