% Model:              Pt_secm_ele_HOPG_k0H.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 22 2020, 11:45
% Dimension:          1
% Nodes:              23
% Expressions:        1
% Description:        Point graph
% x                       Height
-2.75E-7                  0.17001025678203405
-2.5000000000000004E-7    0.18637042917510263
-2.25E-7                  0.21022446914850654
-2.0000000000000002E-7    0.231556072652038
-1.75E-7                  0.26722421748164815
-1.5000000000000002E-7    0.30925037871884475
-1.2500000000000002E-7    0.35900014901329963
-1.0E-7                   0.4388568288743145
-7.5E-8                   0.4891993037772281
-5.0000000000000004E-8    0.4854081196822602
-2.5E-8                   0.48849018478268447
3.984037872179231E-24     0.48696530460998827
2.4999999999999996E-8     0.486885598880947
5.0E-8                    0.48483574565186555
7.500000000000001E-8      0.4852118610842593
1.0000000000000001E-7     0.4451502567210896
1.2500000000000002E-7     0.36167072704284325
1.5000000000000005E-7     0.30528661378555877
1.7500000000000002E-7     0.26585640971135477
2.0E-7                    0.23325512575924062
2.25E-7                   0.20481028691659156
2.5000000000000004E-7     0.1845889772295476
2.75E-7                   0.1688130332091352
