% Model:              Pt_secm_hemi_np.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 5 2020, 18:41
% Table:              Table 8 - L = 25 kOH (kback*cP, n*F*kback*cP)
% Xa (nm)                                         L (nm)                                            kback*cP (mol/s), Integral 7                      n*F*kback*cP (pA), Integral 7                     -(nx*cPx+ny*cPy+nz*cPz)*n*F*D (pA), Integral 7    tds.ntflux_cP/(2*pi*D*Rtip) (mM), Integral 7
-200                                              25                                                2.972985955915273E-17                             2.8684854995648568                                2.521122616860615                                 0.22531677704891226
-195.92                                           25                                                3.0564807135601723E-17                            2.949045416478529                                 2.5868622968592807                                0.2316446610851483
-191.83999999999997                               25                                                3.137614579600568E-17                             3.0273274271276143                                2.643545240845669                                 0.23779363876265208
-187.76                                           25                                                3.227823893362426E-17                             3.114365883510742                                 2.727694305180287                                 0.24463044032961623
-183.67                                           25                                                3.3206404155414843E-17                            3.2039199049352005                                2.7952571838940488                                0.25166477710693314
-179.58999999999997                               25                                                3.4181318900559205E-17                            3.297984554120463                                 2.890010338594931                                 0.25905345842823313
-175.51                                           25                                                3.5255182121576555E-17                            3.401596247000323                                 2.980957484770965                                 0.26719208777066844
-171.43                                           25                                                3.62792169351474E-17                              3.500400245987704                                 3.0655789279023837                                0.27495301892184654
-167.34999999999997                               26.5158047209584                                  3.7898493738759617E-17                            3.656636168384215                                 3.203327397099062                                 0.28722520572563687
-163.27                                           32.03447986154918                                 4.082518246145822E-17                             3.9390177297937967                                3.453116389861913                                 0.30940602721359145
-159.18                                           36.38950260720803                                 4.321841262809053E-17                             4.169928542421301                                 3.6506520608187794                                0.32754389715121207
-155.1                                            39.7808484072424                                  4.528277684274812E-17                             4.369108723672552                                 3.8324989367072386                                0.3431892199310894
-151.01999999999998                               42.57975927597524                                 4.727031207371325E-17                             4.560876060432216                                 3.9937171521121018                                0.35825233643857507
-146.94                                           44.86060186845469                                 4.917764992073457E-17                             4.744905552602076                                 4.144361824372055                                 0.3727088131781205
-142.86                                           46.632160576151726                                5.114238161250479E-17                             4.9344726898825275                                4.317978242253258                                 0.38759801081571815
-138.77999999999997                               48.01455508489067                                 5.304955677510707E-17                             5.118486485446211                                 4.474302781823196                                 0.40205215651805964
-134.68999999999997                               49.026192999252956                                5.50507684381161E-17                              5.311573392751628                                 4.622010496142449                                 0.4172200614985625
-130.61                                           49.677470748821335                                5.70997605805717E-17                              5.509270399616459                                 4.83506630346456                                  0.43274899652057236
-126.52999999999999                               49.97176802955845                                 5.932905041644782E-17                             5.724363429430958                                 4.960917620056144                                 0.44964456541669695
-122.45                                           50                                                6.159123241090106E-17                             5.9426300591657775                                5.206201664784725                                 0.4667877624646585
-118.36999999999999                               50                                                6.412003244780556E-17                             6.186621330726511                                 5.423466943970475                                 0.4859528965438472
-114.29                                           50                                                6.661376218815408E-17                             6.427228844724045                                 5.6353378514865415                                0.5048525747651225
-110.19999999999999                               50                                                6.945413397038271E-17                             6.701282116132367                                 5.891325148264531                                 0.5263791333857379
-106.12                                           50                                                7.247137332150403E-17                             6.992400454925322                                 6.132628724811488                                 0.5492461972323397
-102.04                                           50                                                7.562153223752037E-17                             7.296343537937138                                 6.381517009414072                                 0.5731205368330705
-97.96                                            50                                                7.919131355001408E-17                             7.640773887873108                                 6.710291253427677                                 0.6001749929320315
-93.88                                            50                                                8.302955614007755E-17                             8.01110672417538                                  7.022341385623436                                 0.6292647394576971
-89.79999999999998                                50                                                8.707767956189081E-17                             8.401689912529033                                 7.382198571211251                                 0.659944496545259
-85.71                                            50                                                9.149951052452558E-17                             8.828330272958858                                 7.735071702570094                                 0.6934572612756762
-81.62999999999998                                50                                                9.63739369495398E-17                              9.298639306576352                                 8.121883476226923                                 0.7303995974249773
-77.55                                            50                                                1.0163010712440797E-16                            9.80578088589849                                  8.56321223723154                                  0.7702354597030534
-73.47                                            50                                                1.0738417247264997E-16                            10.360961881023638                                9.082266056790942                                 0.8138443986636139
-69.38999999999999                                50                                                1.137607663861776E-16                             10.976207544770325                                9.592113743034194                                 0.8621716562015002
-65.31                                            50                                                1.207057924458237E-16                             11.646298384135324                                10.233020250215233                                0.914807007087467
-61.21999999999999                                50                                                1.2843167321980655E-16                            12.39172999061304                                 10.838197920229845                                0.9733620178393416
-57.14                                            50                                                1.3683362689666447E-16                            13.202392491124666                                11.546555265722974                                1.0370372007479975
-53.06                                            50                                                1.4611478112381418E-16                            14.097884656731246                                12.32489552697671                                 1.1073778783304906
-48.98                                            56.79753163650688                                 1.3766208430516434E-16                            13.282326204183821                                11.591519866600379                                1.0433164458040518
-44.89999999999999                                60.074869954083134                                1.3694728079826515E-16                            13.21335838782064                                 11.485868091342242                                1.0378983057524402
-40.82                                            62.91842019631453                                 1.3609573720359746E-16                            13.131197204089062                                11.344236219312151                                1.0314449060774167
-36.73                                            65.3904205522491                                  1.3507455004115397E-16                            13.032667960720772                                11.436573032944375                                1.0237054815484539
-32.64999999999999                                67.52020068098139                                 1.3428363030424225E-16                            12.956356069904768                                11.342182422739668                                1.017711167860871
-28.57                                            69.34518800897435                                 1.3405434376489388E-16                            12.934233358155787                                11.225565043089919                                1.0159734886087308
-24.49                                            70.888926497726                                   1.3312122882088234E-16                            12.844201762782852                                11.251529239766295                                1.0089012252305956
-20.41                                            72.16946653537074                                 1.3289724761062054E-16                            12.822590935710746                                11.21687081104059                                 1.007205186147699
