% Model:              Pt_secm_Bruker_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 7 2020, 01:41
% Table:              Table 3 - Point Evaluation 1 (kfore*cR, n*F*kfore*cR)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(2.4*4*D*Rbase) (mM), Integral 6
0                                                 25                                                1.019792064503236
61.21999999999999                                 25                                                1.0189791625081959
122.45                                            25                                                1.016638323541499
183.67                                            25                                                1.0126798403844208
244.9                                             25                                                1.0064428791781486
306.12                                            25                                                0.997678570862389
367.35                                            25                                                0.9853884903139596
428.57                                            25                                                0.9681095856015468
489.8                                             25                                                0.9438854074306816
551.02                                            25                                                0.9089622600691963
612.24                                            25                                                0.8581543668039899
673.47                                            25                                                0.7844374478813526
734.6899999999999                                 93.28443199999994                                 0.6136698274180695
795.9199999999998                                 100                                               0.542153849955973
857.14                                            100                                               0.48154796658606497
918.37                                            100                                               0.4296758247499853
979.5899999999999                                 100                                               0.38658060537423244
1040.82                                           100                                               0.35057025371799855
1102.04                                           100                                               0.32041709513493055
1163.2699999999998                                100                                               0.2947853113283858
1224.4899999999998                                100                                               0.2727537343249405
1285.71                                           100                                               0.2536696474572974
1346.94                                           100                                               0.2369252973373398
1408.1599999999999                                100                                               0.22203109793419815
1469.39                                           100                                               0.20879481011674178
1530.61                                           100                                               0.1968503556508883
1591.8399999999997                                100                                               0.18607076593854766
1653.06                                           100                                               0.17622722907506178
1714.2899999999997                                100                                               0.16726995446617218
1775.5099999999998                                100                                               0.15901153205544669
1836.7299999999998                                100                                               0.15139465205416655
1897.96                                           100                                               0.14436142741839406
1959.1799999999998                                100                                               0.1378260135899336
2020.4099999999999                                100                                               0.1317504408621747
2081.6299999999997                                100                                               0.12608444655920395
2142.86                                           100                                               0.12078509444493295
2204.08                                           100                                               0.1158012486682381
2265.31                                           100                                               0.11114032096761368
2326.53                                           100                                               0.10674654247877098
2387.76                                           100                                               0.10260205884791501
2448.9799999999996                                100                                               0.09869179232336224
2510.2                                            100                                               0.0949882046369974
2571.43                                           100                                               0.09149295924039028
2632.6499999999996                                100                                               0.08816956180989866
2693.88                                           100                                               0.08502496930794139
2755.1                                            100                                               0.08201817313369673
2816.3299999999995                                100                                               0.07916108819112201
2877.55                                           100                                               0.07644999085097773
2938.78                                           100                                               0.07385375698815384
2999.9999999999995                                100                                               0.07138198059577851
