% Model:              Pt_secm_hemi_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 7 2020, 00:27
% Table:              Table 3 - Point Evaluation 1 (kfore*cR, n*F*kfore*cR)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(2*pi*D*a) (mol/m^3), Integral 6
0                                                 25                                                1.1237212522300266
61.21999999999999                                 25                                                1.1232744159032026
122.45                                            25                                                1.122595269209128
183.67                                            25                                                1.1217119240621123
244.9                                             25                                                1.1194359630662452
306.12                                            25                                                1.1166687382050422
367.35                                            25                                                1.1132411920062446
428.57                                            25                                                1.1074203280236414
489.8                                             25                                                1.0994306549832131
551.02                                            25                                                1.086393505190613
612.24                                            25                                                1.0624796135911538
673.47                                            75                                                0.8812307361561414
734.6899999999999                                 94.93097111131318                                 0.7582031920229576
795.9199999999998                                 100                                               0.6528243731315034
857.14                                            100                                               0.5646949273041648
918.37                                            100                                               0.4970321756264135
979.5899999999999                                 100                                               0.44531412198313935
1040.82                                           100                                               0.4042985153482654
1102.04                                           100                                               0.37060764308445254
1163.2699999999998                                100                                               0.3421103534877281
1224.4899999999998                                100                                               0.31764666629858246
1285.71                                           100                                               0.2963021467778717
1346.94                                           100                                               0.2774597773729064
1408.1599999999999                                100                                               0.2606774474693504
1469.39                                           100                                               0.24563034210669246
1530.61                                           100                                               0.2319786237418955
1591.8399999999997                                100                                               0.21960945885139033
1653.06                                           100                                               0.20828706426306326
1714.2899999999997                                100                                               0.1979018637633079
1775.5099999999998                                100                                               0.18850358312551585
1836.7299999999998                                100                                               0.1794968541001205
1897.96                                           100                                               0.17134006422640324
1959.1799999999998                                100                                               0.1636527514404267
2020.4099999999999                                100                                               0.1566449942855177
2081.6299999999997                                100                                               0.1499522033965052
2142.86                                           100                                               0.1437369240339926
2204.08                                           100                                               0.13790078220518423
2265.31                                           100                                               0.13245202970062808
2326.53                                           100                                               0.12724985829769794
2387.76                                           100                                               0.12237645872999149
2448.9799999999996                                100                                               0.1177197529789789
2510.2                                            100                                               0.11333830586651834
2571.43                                           100                                               0.10920279579914384
2632.6499999999996                                100                                               0.10525969577998309
2693.88                                           100                                               0.10154924165374765
2755.1                                            100                                               0.09798956578458859
2816.3299999999995                                100                                               0.09462187460111039
2877.55                                           100                                               0.09135507279380785
2938.78                                           100                                               0.08829610165464422
2999.9999999999995                                100                                               0.08533302555835405
