% Model:              Pt_secm_ele_HOPG_Mesh.mph
% Version:            COMSOL 5.4.0.388
% Date:               May 28 2020, 02:33
% Dimension:          1
% Nodes:              20
% Expressions:        1
% Description:        Table graph
%                         
0                         0.8339425261311312
157.89                    0.8431490133384062
315.79                    0.8661031361534222
473.68                    0.919836042437764
631.58                    1.052581139567492
789.4699999999999         1.128689456002083
947.3699999999999         1.157125459678128
1105.2599999999998        1.1640988541324802
1263.16                   1.1677262638518995
1421.05                   1.1693546547971776
1578.95                   1.1700977593571866
1736.84                   1.168566289816375
1894.7399999999998        1.1785276313079485
2052.6299999999997        1.1942596078782444
2210.53                   1.189107858517235
2368.42                   1.1727797016822767
2526.32                   1.1696487909204276
2684.2                    1.1732645063522509
2842.1099999999997        1.1860352923311066
2999.9999999999995        1.2226692400031123
