% Model:              Pt_secm_disk_p.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 8 2020, 09:34
% Table:              Table 3 - Point Evaluation 1 (kfore*cR, n*F*kfore*cR)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(4*D*Rtip) (mM), Integral 6
0                                                 100                                               0.3872007495312821
4.079999999999999                                 100                                               0.3837063650918795
8.159999999999998                                 100                                               0.38672058042027724
12.239999999999998                                100                                               0.3820588432961188
16.329999999999995                                100                                               0.3811242486962775
20.41                                             100                                               0.3820838589449748
24.49                                             100                                               0.37653470431161346
28.57                                             100                                               0.37686476925731854
32.64999999999999                                 100                                               0.371392813157551
36.73                                             100                                               0.37004043773618106
40.82                                             100                                               0.3668946813441624
44.89999999999999                                 100                                               0.3593777895727612
48.98                                             100                                               0.35813538529993355
53.06                                             100                                               0.3538537986215776
57.14                                             100                                               0.34654437977722385
61.21999999999999                                 100                                               0.34452293818981644
65.31                                             100                                               0.3392816275588997
69.38999999999999                                 100                                               0.33326399086489406
73.47                                             100                                               0.32836840773916703
77.55                                             100                                               0.32293780427030805
81.62999999999998                                 100                                               0.31781124952480444
85.71                                             100                                               0.311460971798595
89.79999999999998                                 100                                               0.30550959088079127
93.88                                             100                                               0.2969778462495722
97.96                                             100                                               0.29176550790765216
102.04                                            100                                               0.2886401493990452
106.12                                            100                                               0.2826238669349712
110.19999999999999                                100                                               0.27451735396982657
114.29                                            100                                               0.27200308356617175
118.36999999999999                                100                                               0.2665964124094093
122.45                                            100                                               0.2602656236750718
126.52999999999999                                100                                               0.252975249787063
130.61                                            100                                               0.24769492190129694
134.68999999999997                                100                                               0.24404243213564022
138.77999999999997                                100                                               0.2391263174660032
142.86                                            100                                               0.2342504956974219
146.94                                            100                                               0.22907379504073108
151.01999999999998                                100                                               0.2245965412322845
155.1                                             100                                               0.2174535273723879
159.18                                            100                                               0.21275980388630433
163.27                                            100                                               0.20821982942920755
167.34999999999997                                100                                               0.20607892732179806
171.43                                            100                                               0.20146773237803273
175.51                                            100                                               0.19699124968157367
179.58999999999997                                100                                               0.19125268832889808
183.67                                            100                                               0.1874727150440278
187.76                                            100                                               0.18348348181747512
191.83999999999997                                100                                               0.1813759167014115
195.92                                            100                                               0.1780450169890699
200                                               100                                               0.17432684712850097
