% Model:              Pt_secm_disk_p.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 6 2020, 00:50
% Table:              Table 2 - Point Evaluation 2 (kback*cP)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(4*D*Rtip) (mM), Integral 4
0                                                 50                                                0.6555290957072445
4.079999999999999                                 50                                                0.6495165751438347
8.159999999999998                                 50                                                0.6519299280032894
12.239999999999998                                50                                                0.64417173269718
16.329999999999995                                50                                                0.6395158134682496
20.41                                             50                                                0.6371486912063963
24.49                                             50                                                0.6310236953064433
28.57                                             50                                                0.6201352990890314
32.64999999999999                                 50                                                0.611316831512556
36.73                                             50                                                0.5987433943002447
40.82                                             50                                                0.5867295776316226
44.89999999999999                                 50                                                0.5738771701280002
48.98                                             50                                                0.5613296199291267
53.06                                             50                                                0.5478435168507777
57.14                                             50                                                0.5335678764480769
61.21999999999999                                 50                                                0.5217812915473177
65.31                                             50                                                0.5084236223374331
69.38999999999999                                 50                                                0.49385840334444864
73.47                                             50                                                0.47906669466205587
77.55                                             50                                                0.45943321113738167
81.62999999999998                                 50                                                0.4485531419895922
85.71                                             50                                                0.43193380502917156
89.79999999999998                                 50                                                0.41506525352507345
93.88                                             50                                                0.40225645192933945
97.96                                             50                                                0.3893448505424735
102.04                                            50                                                0.3753193854080157
106.12                                            50                                                0.3625878561880722
110.19999999999999                                50                                                0.35427062960924516
114.29                                            50                                                0.3419160337445388
118.36999999999999                                50                                                0.33093813184220333
122.45                                            50                                                0.3179186216192577
126.52999999999999                                50                                                0.3075862523944961
130.61                                            50                                                0.29901883124951184
134.68999999999997                                50                                                0.28780297227502605
138.77999999999997                                50                                                0.27871159726779016
142.86                                            50                                                0.2698774143091546
146.94                                            50                                                0.26358717157523226
151.01999999999998                                50                                                0.25321247391811064
155.1                                             50                                                0.24560796766335966
159.18                                            50                                                0.2381331587670809
163.27                                            50                                                0.23153636661258728
167.34999999999997                                50                                                0.22643884649280566
171.43                                            50                                                0.2198268801462956
175.51                                            50                                                0.21408498633022016
179.58999999999997                                50                                                0.20742244442422217
183.67                                            50                                                0.20053990989552253
187.76                                            50                                                0.19508448795103345
191.83999999999997                                50                                                0.1921974838663374
195.92                                            50                                                0.18555961464554238
200                                               50                                                0.18217767494130369
