% Model:              Pt_secm_Bruker_p.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 6 2020, 14:15
% Dimension:          1
% Nodes:              50
% Expressions:        1
% Description:        Point graph
% x                       Height
0                         0.29222277172143585
4.080000000000003         0.2905126427020742
8.159999999999995         0.288265323293506
12.240000000000002        0.28730465301445346
16.33                     0.2863416281513836
20.409999999999997        0.28538095787233103
24.489999999999995        0.2844202875932784
28.569999999999997        0.28275316347969837
32.65                     0.2809471003331334
36.73                     0.2791410371865684
40.81999999999999         0.27733054741464425
44.89999999999999         0.2743457567782456
48.98                     0.27051691453520066
53.06                     0.2666880722921558
57.14                     0.2628592300491109
61.220000000000006        0.259030387806066
65.31                     0.2535274155312878
69.39                     0.2485152623571513
73.47                     0.24401317193155164
77.55                     0.23895480058444324
81.63                     0.23361782039331674
85.70999999999998         0.22828084020219028
89.79999999999998         0.2229307791772621
93.88                     0.21828457821485533
97.96                     0.21474462984775206
102.04000000000002        0.21120468148064875
106.12                    0.2076647331135454
110.19999999999999        0.20443569224094538
114.29                    0.20167332970966662
118.36999999999999        0.1989177211210071
122.45                    0.19579101276186278
126.52999999999999        0.1921364618514588
130.61                    0.18815113664093033
134.68999999999997        0.18392670055706567
138.77999999999997        0.1796919104631915
142.86000000000004        0.17546747437932678
146.94                    0.1712430382954621
151.01999999999998        0.1670186022115974
155.1                     0.1638858240174519
159.18                    0.16081824041164106
163.27                    0.15823895427540213
167.34999999999997        0.1561166037073582
171.43                    0.15399425313931425
175.50999999999996        0.15187190257127026
179.58999999999997        0.14974955200322632
183.67                    0.14762720143518232
187.75999999999996        0.1454996490275108
191.84                    0.14318160419167802
195.92                    0.14050558911877814
199.99999999999997        0.13782957404587826
