% Model:              Pt_secm_Bruker_p.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 6 2020, 14:14
% Table:              Table 8 - L = 25 kOH (kback*cP, n*F*kback*cP)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(2.4*4*D*Rbase) (mM), Integral 7
0                                                 25                                                0.3254441696533473
4.079999999999999                                 25                                                0.325168748863151
8.159999999999998                                 25                                                0.3240330978250024
12.239999999999998                                25                                                0.32194488939787186
16.329999999999995                                25                                                0.31923227149622585
20.41                                             25                                                0.3158162593512482
24.49                                             25                                                0.31153706941055365
28.57                                             25                                                0.30643903670754336
32.64999999999999                                 25                                                0.3026973438937018
36.73                                             25                                                0.294481982502512
40.82                                             25                                                0.2874992772826263
44.89999999999999                                 25                                                0.2806604931957876
48.98                                             25                                                0.27447249927437817
53.06                                             25                                                0.2652020060334887
57.14                                             25                                                0.25754296806143556
61.21999999999999                                 25                                                0.251505467197074
65.31                                             25                                                0.24246123421918153
69.38999999999999                                 25                                                0.23542431414311965
73.47                                             25                                                0.22878449612291085
77.55                                             25                                                0.2226646824210428
81.62999999999998                                 25                                                0.21650966653278247
85.71                                             25                                                0.21074036658861023
89.79999999999998                                 25                                                0.20549705171163868
93.88                                             25                                                0.20042011498869083
97.96                                             25                                                0.1957004002703979
102.04                                            25                                                0.19105003829579525
106.12                                            25                                                0.1869912408156759
110.19999999999999                                25                                                0.1827105393765499
114.29                                            25                                                0.17892990246905838
118.36999999999999                                25                                                0.1751370422556456
122.45                                            25                                                0.17175093239153053
126.52999999999999                                25                                                0.16823755483270197
130.61                                            25                                                0.1649563713104596
134.68999999999997                                25                                                0.16175657812835256
138.77999999999997                                25                                                0.15864256835826085
142.86                                            25                                                0.1559195849980925
146.94                                            25                                                0.15288080475369928
151.01999999999998                                25                                                0.15002967844928405
155.1                                             25                                                0.14732071827005683
159.18                                            25                                                0.14496225541753407
163.27                                            25                                                0.14237541622431688
167.34999999999997                                25                                                0.13989981753698033
171.43                                            25                                                0.13759658800568933
175.51                                            25                                                0.13530061716493502
179.58999999999997                                25                                                0.13308697338986994
183.67                                            25                                                0.13071815286418875
187.76                                            25                                                0.12853285429595893
191.83999999999997                                25                                                0.12654713371157922
195.92                                            25                                                0.12459024148315703
200                                               25                                                0.12252656198821721
