% Model:              Pt_secm_hemi_p.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 9 2020, 20:33
% Table:              Table 3 - L = 100 (tds.ntflux_cP/(2*pi*D*Rtip*a), tds.ntflux_cP)
% Xa                                              L                                                 Concentration (mM), Integral 6                    TotalFlux (mol/s), Integral 6
-8                                                4                                                 0.1704922489440135                                2.249592226461367E-17
-7.8367                                           4                                                 0.1738875181183136                                2.2943917477801127E-17
-7.6735                                           4                                                 0.17731874223703092                               2.3396656834136783E-17
-7.5102                                           4                                                 0.18138686925406156                               2.3933433548060917E-17
-7.3469                                           4                                                 0.18515236719770595                               2.4430279296489077E-17
-7.1837                                           4                                                 0.18890631368199198                               2.4925600865763096E-17
-7.0204                                           4                                                 0.1931458129962113                                2.5484989621582103E-17
-6.8571                                           4                                                 0.19749768735524165                               2.6059205915240413E-17
-6.6939                                           4                                                 0.201830802139361                                 2.6630946941304384E-17
-6.5306                                           4                                                 0.20720477861433279                               2.7340026431906483E-17
-6.3673                                           4                                                 0.21066979485445658                               2.7797224553617224E-17
-6.2041                                           4                                                 0.21572500753450027                               2.8464244152371587E-17
-6.0408                                           4                                                 0.22040267185557627                               2.908144741878758E-17
-5.8776                                           4                                                 0.2252588967819228                                2.9722211202004817E-17
-5.7143                                           4                                                 0.23029440286336975                               3.038663057633329E-17
-5.551                                            4                                                 0.2357601363345387                                3.110781711735247E-17
-5.3878                                           4                                                 0.2412780211719998                                3.1835884869038827E-17
-5.2245                                           4                                                 0.24616625234608758                               3.248087177715229E-17
-5.0612                                           4                                                 0.2521470204475183                                3.3270015536624147E-17
-4.898                                            4                                                 0.25803740908106726                               3.404723400625782E-17
-4.7347                                           4                                                 0.2637193844824215                                3.479695299776646E-17
-4.5714                                           4                                                 0.2697373682315566                                3.559100724626595E-17
-4.4082                                           4                                                 0.27562632630540684                               3.636803695799441E-17
-4.2449                                           4                                                 0.2819816979605545                                3.7206608491905535E-17
-4.0816                                           4                                                 0.2881670568011847                                3.8022747363434235E-17
-3.9184                                           4                                                 0.29458281424633936                               3.8869286614624535E-17
-3.7551                                           4                                                 0.300383558812707                                 3.963467682825669E-17
-3.5918                                           4                                                 0.3072873004651243                                4.0545604078672354E-17
-3.4286                                           4                                                 0.3130947401964157                                4.1311877698503924E-17
-3.2653                                           4                                                 0.31919346491748124                               4.21165854672625E-17
-3.102                                            4                                                 0.3258211105118447                                4.299108270107612E-17
-2.9388                                           4                                                 0.33116328169997955                               4.3695965582948524E-17
-2.7755                                           4                                                 0.33786374446119294                               4.458007081557209E-17
-2.6122                                           4                                                 0.34356298886266945                               4.5332068397965255E-17
-2.449                                            4                                                 0.35064553083630146                               4.626658779495561E-17
-2.2857                                           4                                                 0.3546592861472555                                4.679619033128015E-17
-2.1224                                           4                                                 0.36104567631618306                               4.7638854661661754E-17
-1.9592                                           4                                                 0.3657068125186267                                4.8253877094203E-17
-1.7959                                           4                                                 0.36989111682052755                               4.88059830397226E-17
-1.6327                                           4                                                 0.374468457128306                                 4.9409948864446493E-17
-1.4694                                           4                                                 0.3784293990494535                                4.993258283815884E-17
-1.3061                                           4                                                 0.3820904237517394                                5.041564366715002E-17
-1.1429                                           4                                                 0.38565678787208735                               5.0886214326611485E-17
-0.9796                                           4                                                 0.3890815610532743                                5.1338102501792954E-17
-0.8163                                           4                                                 0.3912364251482402                                5.162243012062267E-17
-0.6531                                           4                                                 0.39347497284805033                               5.1917799530976786E-17
-0.4898                                           4                                                 0.3956913813328314                                5.2210247740728874E-17
-0.3265                                           4                                                 0.3958763607878023                                5.22346552047944E-17
-0.1633                                           4                                                 0.39722511897685325                               5.241261965515857E-17
0                                                 4                                                 0.3976561694526292                                5.246949542549577E-17
