% Model:              Pt_secm_Bruker_p.mph
% Version:            COMSOL 5.4.0.388
% Date:               Jun 6 2020, 23:25
% Table:              Table 3 - Point Evaluation 1 (kfore*cR, n*F*kfore*cR)
% Xa (nm)                                         L (nm)                                            tds.ntflux_cP/(2.4*4*D*Rbase) (mM), Integral 6
0                                                 100                                               0.16342069534997086
4.079999999999999                                 100                                               0.16325710157472878
8.159999999999998                                 100                                               0.1632517536615376
12.239999999999998                                100                                               0.16291270723024348
16.329999999999995                                100                                               0.16263402389396842
20.41                                             100                                               0.16229618066857382
24.49                                             100                                               0.16268348111965875
28.57                                             100                                               0.16106450240043577
32.64999999999999                                 100                                               0.16050046874430457
36.73                                             100                                               0.15978239486660037
40.82                                             100                                               0.15987681895725986
44.89999999999999                                 100                                               0.15811225478883145
48.98                                             100                                               0.1571332656036427
53.06                                             100                                               0.15607382713071644
57.14                                             100                                               0.15517956966079427
61.21999999999999                                 100                                               0.15390161271003944
65.31                                             100                                               0.15270469698683176
69.38999999999999                                 100                                               0.1516215914859874
73.47                                             100                                               0.15038474584001682
77.55                                             100                                               0.1490811558250477
81.62999999999998                                 100                                               0.14771572097887758
85.71                                             100                                               0.14652008126797805
89.79999999999998                                 100                                               0.14508341410704634
93.88                                             100                                               0.14373930498483778
97.96                                             100                                               0.14232854403928044
102.04                                            100                                               0.14070473669323216
106.12                                            100                                               0.13949768799342255
110.19999999999999                                100                                               0.13814788393838015
114.29                                            100                                               0.13648424111545074
118.36999999999999                                100                                               0.13513021126887464
122.45                                            100                                               0.13378118509037623
126.52999999999999                                100                                               0.1323897614466933
130.61                                            100                                               0.13088337398475403
134.68999999999997                                100                                               0.12936237693208172
138.77999999999997                                100                                               0.12806427419516278
142.86                                            100                                               0.1266796028470694
146.94                                            100                                               0.12534686005804146
151.01999999999998                                100                                               0.12411973905310453
155.1                                             100                                               0.1233264795485775
159.18                                            100                                               0.12120939723069808
163.27                                            100                                               0.11987511255599047
167.34999999999997                                100                                               0.11848570272724258
171.43                                            100                                               0.11722502262335209
175.51                                            100                                               0.11579941271318132
179.58999999999997                                100                                               0.11458450613075186
183.67                                            100                                               0.11325388934280914
187.76                                            100                                               0.11201215504672951
191.83999999999997                                100                                               0.11051944686177222
195.92                                            100                                               0.1095592150958837
200                                               100                                               0.10825715872493143
